,isConversationControlled,isPinned,isQuote,isReply,isRetweet,lang,likeCount,media/0,media/1,possiblySensitive,replyCount,quoteCount,retweetCount,source,type,viewCount,target
177,0,0,0,0,1,8,759.0,0,0,0,25.0,11.0,259.0,16,1,24268.0,0
178,0,0,0,0,1,8,100.0,0,0,0,9.0,1.0,12.0,16,1,3841.0,0
179,0,0,0,0,1,8,9.0,0,0,0,0.0,0.0,6.0,16,1,798.0,0
180,0,0,1,0,0,8,349.0,0,0,0,8.0,1.0,170.0,16,1,9680.0,0
181,0,0,0,0,0,8,138.0,1,1,0,7.0,4.0,112.0,16,1,5522.0,0
182,0,0,0,0,1,16,84.0,0,0,0,3.0,2.0,35.0,16,1,1842.0,0
183,0,0,0,0,1,16,525.0,0,0,0,7.0,4.0,279.0,16,1,11418.0,0
184,0,0,0,0,0,8,217.0,1,0,0,4.0,1.0,62.0,16,1,3130.0,0
185,0,0,1,0,0,8,166.0,0,0,0,10.0,0.0,62.0,16,1,4182.0,0
186,0,0,0,0,1,8,42.0,0,0,0,1.0,0.0,17.0,16,1,1948.0,0
187,0,0,1,0,0,8,434.0,0,0,0,9.0,0.0,147.0,16,1,9745.0,0
188,0,0,0,0,0,8,977.0,0,0,0,45.0,5.0,379.0,16,1,24449.0,0
189,0,0,1,0,0,8,93.0,1,0,0,0.0,1.0,47.0,16,1,3304.0,0
190,0,0,1,0,0,8,1393.0,1,0,0,27.0,12.0,665.0,16,1,41128.0,0
191,0,0,0,0,0,16,157.0,1,0,0,3.0,0.0,40.0,13,1,1714.0,0
192,0,0,0,0,1,8,876.0,0,0,0,25.0,7.0,486.0,13,1,52741.0,0
193,0,0,0,0,1,8,11972.0,0,0,0,260.0,84.0,2035.0,13,1,856463.0,0
194,0,0,0,0,0,16,631.0,1,0,0,65.0,12.0,361.0,13,1,18246.0,0
195,0,0,0,0,0,16,423.0,0,0,0,3.0,1.0,209.0,13,1,5975.0,0
196,0,0,0,0,0,16,608.0,1,0,0,7.0,0.0,219.0,13,1,5639.0,0
197,0,0,0,0,0,16,2212.0,1,0,0,38.0,4.0,481.0,13,1,107958.0,0
198,0,0,0,0,0,16,430.0,1,0,0,20.0,6.0,155.0,13,1,10163.0,0
199,0,0,0,0,1,8,49.0,0,0,0,3.0,0.0,54.0,13,1,1483.0,0
200,0,0,0,0,0,16,505.0,1,1,0,19.0,3.0,188.0,13,1,6922.0,0
201,0,0,0,0,0,16,530.0,1,0,0,8.0,2.0,124.0,13,1,5746.0,0
202,0,0,0,0,0,16,523.0,1,0,0,66.0,9.0,178.0,13,1,17249.0,0
203,0,0,1,0,0,16,270.0,0,0,0,2.0,0.0,82.0,13,1,2722.0,0
204,0,0,0,0,0,16,1244.0,1,0,0,30.0,16.0,728.0,13,1,13061.0,0
205,0,0,0,0,1,8,332.0,0,0,0,11.0,5.0,169.0,13,1,4095.0,0
206,0,0,0,0,1,8,14065.0,0,0,0,1033.0,236.0,3830.0,13,1,738045.0,0
207,0,0,0,0,0,16,257.0,1,0,0,14.0,2.0,104.0,13,1,4295.0,0
208,0,0,0,0,1,16,274.0,0,0,0,4.0,3.0,94.0,13,1,6983.0,0
209,0,0,0,0,0,16,1871.0,1,0,0,24.0,6.0,660.0,13,1,24114.0,0
210,0,0,0,1,0,16,164.0,0,0,0,2.0,0.0,41.0,13,1,1786.0,0
211,0,0,0,0,1,8,16.0,1,0,0,2.0,0.0,1.0,13,1,9248.0,0
212,0,0,0,0,1,16,1374.0,0,0,0,73.0,7.0,313.0,13,1,54539.0,0
213,0,0,0,0,1,16,2246.0,1,0,0,45.0,3.0,612.0,13,1,18237.0,0
214,0,0,0,0,1,16,11.0,0,0,0,0.0,0.0,9.0,13,1,516.0,0
215,0,0,0,0,1,16,4421.0,1,0,0,39.0,2.0,875.0,13,1,26654.0,0
216,0,0,0,0,1,16,851.0,0,0,0,2.0,5.0,200.0,13,1,13350.0,0
217,0,0,0,0,1,16,6250.0,1,0,0,98.0,10.0,1498.0,13,1,74717.0,0
218,0,0,0,0,1,16,3923.0,0,0,0,51.0,12.0,1125.0,13,1,141459.0,0
219,0,0,0,0,1,16,1511.0,0,0,0,16.0,10.0,446.0,13,1,14995.0,0
220,0,0,0,0,1,45,10.0,1,0,0,0.0,0.0,4.0,13,1,394.0,0
221,0,0,0,0,1,16,431.0,0,0,0,2.0,1.0,96.0,13,1,4961.0,0
222,0,0,0,0,1,16,29.0,0,0,0,0.0,0.0,12.0,13,1,705.0,0
223,0,0,0,0,1,8,179.0,0,0,0,4.0,7.0,119.0,13,1,17023.0,0
224,0,0,0,0,1,16,14.0,0,0,0,0.0,0.0,9.0,13,1,444.0,0
225,0,0,0,0,0,16,2446.0,1,0,0,18.0,10.0,882.0,13,1,20940.0,0
226,0,0,0,0,1,16,332.0,0,0,0,7.0,3.0,184.0,13,1,4625.0,0
227,0,0,0,0,0,16,38.0,1,0,0,2.0,0.0,8.0,13,1,492.0,0
228,0,0,0,0,1,8,1.0,0,0,0,1.0,0.0,2.0,13,1,2901.0,0
229,0,0,0,0,0,8,107.0,1,1,0,10.0,2.0,6.0,16,1,9381.0,0
230,0,0,0,0,0,8,140.0,0,0,0,116.0,9.0,25.0,16,1,59946.0,0
231,0,0,0,0,1,8,652.0,0,0,0,19.0,10.0,212.0,16,1,49531.0,0
232,0,0,0,0,0,8,1118.0,0,0,0,109.0,8.0,80.0,16,1,58170.0,0
233,0,0,0,0,0,8,1329.0,0,0,0,688.0,102.0,471.0,16,1,243036.0,0
234,0,0,0,0,1,8,16.0,0,0,0,12.0,1.0,3.0,16,1,9709.0,0
235,0,0,1,0,0,8,53.0,0,0,0,10.0,0.0,0.0,16,1,18064.0,0
236,0,0,0,0,1,8,49.0,0,0,0,9.0,3.0,6.0,16,1,47036.0,0
237,0,0,1,0,0,8,400.0,0,0,0,214.0,29.0,90.0,16,1,58964.0,0
238,0,0,1,0,0,8,1155.0,0,0,0,404.0,44.0,313.0,16,1,90607.0,0
239,0,0,1,0,0,8,14.0,0,0,0,7.0,0.0,2.0,16,1,20089.0,0
240,0,0,0,0,0,8,9404.0,0,0,0,3201.0,704.0,2313.0,16,1,1650031.0,0
241,0,0,0,0,1,8,53.0,0,0,0,20.0,2.0,5.0,16,1,45742.0,0
242,0,0,0,0,0,8,46.0,1,0,0,13.0,0.0,6.0,16,1,12554.0,0
243,0,0,0,0,0,8,850.0,0,0,0,280.0,41.0,86.0,16,1,144953.0,0
244,0,0,0,0,0,8,1104.0,0,0,0,181.0,33.0,58.0,16,1,81573.0,0
245,0,0,0,0,0,8,3198.0,0,0,0,1030.0,156.0,522.0,16,1,452227.0,0
246,0,0,0,0,0,8,342.0,1,0,0,61.0,3.0,40.0,16,1,37825.0,0
247,0,0,0,0,0,8,9.0,0,0,0,0.0,0.0,2.0,11,1,430.0,0
248,0,0,1,0,0,8,13.0,0,0,0,0.0,0.0,4.0,11,1,534.0,0
249,0,0,0,0,1,7,4588.0,1,0,0,3.0,63.0,921.0,13,1,108119.0,0
250,0,0,0,0,1,19,2707.0,1,0,0,4.0,9.0,445.0,13,1,54680.0,0
251,0,0,0,0,1,8,388.0,0,0,0,2.0,4.0,85.0,13,1,9247.0,0
252,0,0,0,0,1,8,369.0,0,0,0,15.0,3.0,63.0,13,1,8984.0,0
253,0,0,0,0,1,8,2.0,0,0,0,0.0,0.0,3.0,13,1,376.0,0
254,0,0,0,0,1,8,14.0,0,0,0,0.0,0.0,13.0,13,1,2459.0,0
255,0,0,0,0,1,8,73.0,0,0,0,5.0,3.0,52.0,13,1,27391.0,0
256,0,0,0,0,1,8,6344.0,0,0,0,291.0,75.0,507.0,13,1,924437.0,0
257,0,0,0,0,1,8,218.0,0,0,0,9.0,6.0,73.0,13,1,20126.0,0
258,0,0,0,0,1,8,292.0,0,0,0,9.0,39.0,129.0,13,1,46786.0,0
259,0,0,0,0,1,8,51.0,0,0,0,7.0,0.0,5.0,16,1,2298.0,0
260,0,0,0,0,1,8,107.0,0,0,0,9.0,4.0,12.0,13,1,9531.0,0
261,0,0,0,0,0,8,6.0,0,0,0,0.0,0.0,1.0,16,1,542.0,0
262,0,0,1,0,0,8,2.0,0,0,0,0.0,0.0,1.0,16,1,450.0,0
263,0,0,0,0,0,8,3.0,0,0,0,0.0,0.0,3.0,13,1,328.0,0
264,0,0,0,0,1,8,6.0,0,0,0,0.0,0.0,4.0,13,1,718.0,0
265,0,0,0,0,0,8,117.0,1,0,0,5.0,1.0,46.0,11,1,5133.0,0
266,0,0,1,1,0,8,15.0,0,0,0,1.0,0.0,2.0,11,1,948.0,0
267,0,0,0,1,0,8,16.0,1,0,0,1.0,1.0,0.0,11,1,1315.0,0
268,0,0,0,0,0,8,11.0,1,1,0,12.0,0.0,2.0,13,1,3208.0,0
269,0,0,0,0,1,16,3.0,1,0,0,1.0,0.0,1.0,13,1,2751.0,0
270,0,0,0,0,1,16,25.0,0,0,0,2.0,0.0,7.0,13,1,6119.0,0
271,0,0,0,0,1,8,38.0,0,0,0,5.0,2.0,17.0,13,1,1952.0,0
272,0,0,0,0,0,43,6.0,1,0,0,2.0,0.0,1.0,13,1,1591.0,0
273,0,0,1,0,0,8,3.0,0,0,0,2.0,0.0,0.0,13,1,1676.0,0
274,0,0,0,0,0,8,2.0,1,0,0,1.0,0.0,0.0,13,1,1159.0,0
275,0,0,0,0,0,16,8.0,0,0,0,3.0,0.0,0.0,13,1,2005.0,0
276,0,0,0,0,0,16,3.0,1,0,0,3.0,0.0,0.0,13,1,1607.0,0
277,0,0,0,0,1,16,2841.0,0,0,0,319.0,39.0,1081.0,13,1,50829.0,0
278,0,0,0,0,1,16,4.0,0,0,0,0.0,0.0,1.0,13,1,1146.0,0
279,0,0,1,0,0,8,2.0,0,0,0,0.0,0.0,0.0,13,1,1246.0,0
280,0,0,0,0,0,34,3.0,1,0,0,1.0,0.0,1.0,13,1,876.0,0
281,0,0,0,0,0,8,19.0,1,1,0,6.0,0.0,4.0,13,1,2769.0,0
282,0,0,0,0,1,16,6737.0,1,0,0,1039.0,101.0,1615.0,13,1,168602.0,0
283,0,0,0,0,0,19,22.0,1,0,0,0.0,0.0,5.0,13,1,1976.0,0
284,0,0,0,0,1,16,19953.0,0,0,0,1662.0,244.0,2878.0,13,1,2223369.0,0
285,0,0,1,0,0,8,21.0,0,0,0,20.0,3.0,5.0,13,1,7391.0,0
286,0,0,0,0,0,16,43.0,1,0,0,6.0,1.0,7.0,13,1,5058.0,0
